排名,代表企業,總企業家數,核心企業家數
1,新光合成纖維股份有限公司,254,154
2,南聯國際貿易股份有限公司,256,137
3,寶島投資開發股份有限公司,115,111
4,亞洲水泥股份有限公司,146,101
5,永豐餘投資控股股份有限公司,169,88
6,兆豐國際商業銀行股份有限公司,259,69
7,聯華實業股份有限公司,129,65
8,耐斯企業股份有限公司,113,65
9,臺灣水泥股份有限公司,177,61
10,仲冠投資股份有限公司,115,60
11,能率投資股份有限公司,103,58
12,堉群實業股份有限公司,65,57
13,東元電機股份有限公司,111,56
14,燁聯鋼鐵股份有限公司,67,56
15,凱撒大飯店股份有限公司,55,53
16,慶豐環宇股份有限公司,54,52
17,力麗企業股份有限公司,59,52
18,味丹企業股份有限公司,66,52
19,中華工程股份有限公司,63,51
20,國產實業建設股份有限公司,80,51
21,年代網際事業股份有限公司,65,50
22,富邦綜合證券股份有限公司,113,50
23,金寶電子工業股份有限公司,143,49
24,潤泰創新國際股份有限公司,60,48
25,中央投資股份有限公司,224,48
26,和泰汽車股份有限公司,82,48
27,中國鋼鐵股份有限公司,109,47
28,東吳投資股份有限公司,53,46
29,鴻揚創業投資股份有限公司,65,45
30,中影股份有限公司,51,45
31,中國時報文化事業股份有限公司,60,44
32,台塑石化股份有限公司,86,42
33,漢威巨蛋開發股份有限公司,44,41
34,耕頂興業股份有限公司,55,41
35,大永興業股份有限公司,41,41
36,寶成工業股份有限公司,51,40
37,元大創業投資股份有限公司,69,39
38,鴻達國際投資股份有限公司,58,39
39,勇誼股份有限公司,70,39
40,長春人造樹脂廠股份有限公司,52,39
41,志信國際股份有限公司,50,38
42,味全食品工業股份有限公司,64,38
43,凱興保險代理人股份有限公司,104,37
44,聯合報股份有限公司,41,36
45,智豐科技股份有限公司,82,36
46,新燕實業股份有限公司,39,36
47,長榮國際股份有限公司,62,36
48,太平洋建設股份有限公司,61,35
49,璞全廣告股份有限公司,48,34
50,新竹物流股份有限公司,64,34
51,太子投資股份有限公司,37,34
52,統聯汽車客運股份有限公司,65,34
53,義美食品股份有限公司,47,33
54,能新投資股份有限公司,36,32
55,犇華國際投資股份有限公司,36,32
56,嘉豐茂良投資股份有限公司,36,32
57,太陽光電能源科技股份有限公司,33,32
58,台灣創新發展股份有限公司,69,32
59,東南水泥股份有限公司,46,31
60,台灣數位光訊科技股份有限公司,42,31
61,和桐化學股份有限公司,38,30
62,華南商業銀行股份有限公司,84,30
63,台灣聚合化學品股份有限公司,88,30
64,國光汽車客運股份有限公司,43,29
65,勤美股份有限公司,54,28
66,大聯大投資控股股份有限公司,48,27
67,聖恩全生涯事業股份有限公司,34,27
68,和展投資有限公司,52,27
69,中華電信股份有限公司,58,27
70,中國人造纖維股份有限公司,36,27
71,方元投資股份有限公司,33,27
72,松崗科技股份有限公司,28,27
73,互助營造股份有限公司,36,27
74,紳立通運股份有限公司,37,27
75,天威保全股份有限公司,31,26
76,遠雄國際投資股份有限公司,43,26
77,台灣苯乙烯工業股份有限公司,41,26
78,大亞電線電纜股份有限公司,44,26
79,名成興業股份有限公司,29,26
80,柏合麗投資股份有限公司,34,26
81,霸德國際股份有限公司,28,26
82,三商行股份有限公司,35,25
83,宏碁股份有限公司,57,25
84,明怡投資股份有限公司,51,25
85,中興電工機械股份有限公司,33,25
86,中嘉網路股份有限公司,26,25
87,和成欣業股份有限公司,40,25
88,特力股份有限公司,26,25
89,樺福建設開發股份有限公司,30,25
90,光陽工業股份有限公司,85,24
91,中實投資股份有限公司,24,24
92,全聯實業股份有限公司,26,24
93,東森國際股份有限公司,43,23
94,威剛科技股份有限公司,32,23
95,大成長城企業股份有限公司,30,23
96,精誠資訊股份有限公司,50,22
97,超大投資股份有限公司,32,22
98,崇越科技股份有限公司,34,22
99,日隆投資股份有限公司,33,22
100,華碩電腦股份有限公司,37,22
