排名,單位名稱,祖先數,子孫數,直接被投資,直接投資,是否身處最大集團
0,財政部,0,719,0,11,O
1,臺灣金融控股股份有限公司,1,668,1,3,O
2,臺灣銀行股份有限公司,2,665,1,17,O
3,行政院國家發展基金管理會,0,635,0,32,O
4,東賢投資有限公司,0,495,0,13,O
5,財團法人新光吳火獅文教基金會,0,492,0,8,O
6,成安有限公司,0,480,0,4,O
7,雲山有限公司,0,479,0,3,O
8,傑成有限公司,0,477,0,2,O
9,新台建設股份有限公司,2,475,2,3,O
10,逢星投資股份有限公司,3,475,3,3,O
11,傑昌投資股份有限公司,3,474,3,2,O
12,兆邦投資股份有限公司,3,472,1,3,O
13,葛昌投資股份有限公司,6,472,3,3,O
14,成玲投資股份有限公司,6,472,3,3,O
15,新光國際投資股份有限公司,0,471,0,6,O
16,家邦投資股份有限公司,9,471,3,15,O
17,昕昌投資股份有限公司,0,460,0,1,O
18,昕達投資股份有限公司,0,460,0,3,O
19,昕陽投資股份有限公司,0,460,0,2,O
20,進賢投資股份有限公司,0,460,0,3,O
21,東興投資股份有限公司,3,459,3,7,O
22,瑞新興業股份有限公司,1,459,1,11,O
23,廣昇國際企業有限公司,0,458,0,1,O
24,恆昇國際企業有限公司,0,458,0,1,O
25,漢霖建設股份有限公司,0,458,0,3,O
26,聯穗企業股份有限公司,0,457,0,2,O
27,財團法人台北市洪萬傳慈善基金會,0,457,0,2,O
28,新誠投資股份有限公司,0,457,0,2,O
29,宜廣實業股份有限公司,2,457,2,2,O
30,財團法人德山教育基金會,0,457,0,2,O
31,濟真股份有限公司,0,457,0,2,O
32,嘉浩投資股份有限公司,0,457,0,2,O
33,桂園投資股份有限公司,0,457,0,1,O
34,新勝股份有限公司,16,456,11,6,O
35,遠崧實業股份有限公司,0,455,0,1,O
36,財團法人台灣林登山社會福利基金會,0,455,0,1,O
37,臺灣新光實業股份有限公司,19,454,12,6,O
38,匯豐投資有限公司,0,452,0,4,O
39,永增企業股份有限公司,0,452,0,4,O
40,弘捷投資股份有限公司,0,451,0,2,O
41,新光海洋企業股份有限公司,18,450,2,2,O
42,欣和投資股份有限公司,0,450,0,2,O
43,德岳實業股份有限公司,1,450,1,3,O
44,永光股份有限公司,35,449,7,5,O
45,良木企業股份有限公司,4,447,1,3,O
46,新光育樂股份有限公司,39,444,6,2,O
47,欣運實業股份有限公司,0,439,0,1,O
48,東岳實業股份有限公司,1,438,1,2,O
49,綿豪實業股份有限公司,2,436,1,5,O
50,交通部,0,432,0,8,O
51,經濟部,0,416,0,12,O
52,中華郵政股份有限公司,1,362,1,3,O
53,兆豐國際商業銀行股份有限公司工會,0,350,0,2,O
54,兆豐金融控股股份有限公司,7,348,5,8,O
55,"英屬維京群島商 Eagleright Management Co., LTd",0,345,0,1,O
56,銓緯投資股份有限公司,1,344,1,3,O
57,勤利投資有限公司,0,342,0,1,O
58,寬和開發股份有限公司,3,341,2,4,O
