姓名,次數
陳淑芬,284
陳建宏,270
陳俊宏,246
陳美玲,243
林淑惠,240
陳怡君,239
陳淑惠,238
陳淑貞,237
陳美惠,230
陳麗華,214
陳淑娟,203
林志明,195
陳淑玲,189
黃淑芬,184
陳俊良,179
林淑芬,177
陳志明,170
陳淑華,170
陳建志,166
林俊宏,165
林怡君,162
林建宏,162
林淑華,159
陳秀美,157
陳淑美,155
陳美華,154
林美玲,149
林淑貞,149
王俊傑,148
陳麗玲,148
張淑惠,147
陳麗珠,146
林麗華,146
陳怡如,144
陳惠美,139
黃美玲,136
陳美雲,133
黃俊傑,133
黃淑貞,132
張家銘,131
陳文雄,131
林美惠,129
陳信宏,126
陳韻如,125
陳正雄,125
林淑玲,125
陳秀琴,125
林淑美,124
陳麗娟,122
黃淑美,121
陳麗美,121
張淑貞,120
張家豪,120
林秀美,118
陳惠玲,117
陳志銘,117
林正雄,116
楊淑惠,116
黃淑惠,116
陳俊傑,115
李建興,113
李淑惠,113
陳劉惠鈺,112
陳建成,112
林麗卿,112
林文雄,112
張陳瑪蓮,111
李淑芬,110
陳世昌,109
林明輝,109
張麗華,108
林美華,108
陳淑珍,108
林秀玲,108
陳美珠,107
陳麗雲,107
張淑芬,107
黃美惠,107
黃美華,106
陳志成,106
林淑娟,105
林麗娟,105
陳麗卿,104
陳冠宇,103
陳進財,103
陳世明,102
陳志宏,102
陳國榮,102
林淑珍,102
黃麗華,101
林文彬,100
陳國華,100
李俊賢,99
黃淑華,99
陳慧玲,99
陳明珠,99
林志鴻,99
陳美麗,98
陳建州,97
陳俊雄,97
張美玲,97
李麗華,97
陳美玉,96
陳文彬,96
陳麗玉,95
陳麗如,95
陳建良,95
林麗珠,95
林明德,94
陳俊男,94
吳俊德,93
林義雄,93
林美玉,93
黃麗娟,93
張志成,93
林秀英,93
陳金龍,93
張雅惠,92
林惠美,92
林佳慧,92
陳素貞,91
陳志強,91
王淑芬,90
王麗華,90
陳淑芳,90
陳志鴻,89
張美惠,89
林俊良,89
黃淑娟,89
陳俊吉,88
吳俊賢,88
林佳蓉,88
陳秀鳳,88
林信宏,88
張淑美,88
張秀美,87
林建成,87
張淑娟,86
陳淑真,86
黃俊雄,85
張志明,85
陳秀英,84
陳永昌,84
張淑華,84
吳美玲,84
陳國忠,84
林淑真,84
陳明輝,83
陳榮華,83
林志隆,83
黃美玉,82
林素貞,82
林秀琴,82
陳美月,82
林志宏,82
陳國雄,81
陳淑卿,81
陳素珍,81
陳明德,80
陳美秀,80
林麗美,80
陳建宇,80
吳淑惠,80
陳志豪,80
劉淑芬,80
王淑惠,80
林麗玉,79
王淑貞,79
楊淑芬,79
陳秀蘭,79
李美玲,78
張雅婷,78
黃惠玲,78
黃麗玲,78
陳文龍,78
陳建安,78
陳淑敏,78
蔡淑芬,78
蕭明輝,78
