排名,單位名稱,祖先數,子孫數,直接被投資,直接投資,是否身處最大集團
1,兆豐國際商業銀行股份有限公司,8,291,1,96,O
2,中華開發工業銀行股份有限公司,20,304,1,79,O
3,南聯國際貿易股份有限公司,5,112,1,55,O
4,裕隆汽車製造股份有限公司,18,195,4,47,O
5,南和興產股份有限公司,13,53,10,45,O
6,統一企業股份有限公司,4,221,4,43,O
7,統一超商股份有限公司,5,77,2,39,O
8,寶島投資開發股份有限公司,0,36,0,36,X
9,東元電機股份有限公司,18,81,6,35,O
10,創新工業技術移轉股份有限公司,1,47,1,34,O
11,中國鋼鐵股份有限公司,120,155,7,33,O
12,行政院國家發展基金管理會,0,635,0,32,O
13,光陽工業股份有限公司,9,52,9,31,O
14,臺灣水泥股份有限公司,71,246,12,31,O
15,永豐餘投資控股股份有限公司,10,195,5,29,O
16,仁寶電腦工業股份有限公司,2,102,1,29,O
17,南亞塑膠工業股份有限公司,7,109,4,28,O
18,臺灣化學纖維股份有限公司,7,109,4,27,O
19,行政院國軍退除役官兵輔導委員會,0,53,0,27,O
20,中盈投資開發股份有限公司,120,155,1,26,O
21,太陽光電能源科技股份有限公司,3,29,2,25,X
22,中央投資股份有限公司,0,118,0,25,O
23,大同股份有限公司,1,65,1,25,O
24,中華電信股份有限公司,1,71,1,24,O
25,新光合成纖維股份有限公司,51,313,7,24,O
26,士林電機廠股份有限公司,175,69,8,24,O
27,臺灣塑膠工業股份有限公司,7,109,5,24,O
28,亞洲水泥股份有限公司,28,176,9,23,O
29,台元紡織股份有限公司,18,195,8,23,O
30,新竹物流股份有限公司,2,89,1,22,O
31,遠鼎投資股份有限公司,28,176,2,22,O
32,台塑石化股份有限公司,7,109,4,21,O
33,華陽中小企業開發股份有限公司,30,31,11,21,O
34,鬥牛士股份有限公司,0,27,0,21,X
35,中華汽車工業股份有限公司,18,195,5,21,O
36,中華開發創業投資股份有限公司,21,67,1,20,O
37,國泰創業投資股份有限公司,11,53,1,19,O
38,金寶電子工業股份有限公司,2,102,1,19,O
39,中興電工機械股份有限公司,7,28,4,19,O
40,華碩電腦股份有限公司,0,34,0,19,O
41,耐斯企業股份有限公司,30,76,7,18,O
42,廣達電腦股份有限公司,0,32,0,18,O
43,元大創業投資股份有限公司,12,97,1,18,O
44,三商行股份有限公司,2,27,2,18,O
45,宏誠創業投資股份有限公司,6,62,1,18,O
46,中華航空股份有限公司,4,20,3,18,O
47,臺灣銀行股份有限公司,2,665,1,17,O
48,長榮國際股份有限公司,0,264,0,17,O
49,華新麗華股份有限公司,12,100,3,17,O
50,華榮電線電纜股份有限公司,5,180,4,17,O
51,旭晟投資有限公司,0,20,0,17,X
52,皇科投資有限公司,0,20,0,17,X
53,國產實業建設股份有限公司,2,281,2,17,O
54,大亞電線電纜股份有限公司,0,45,0,17,O
55,中興保全股份有限公司,10,48,9,17,O
56,愛之味股份有限公司,30,76,7,17,O
57,中嘉網路股份有限公司,4,21,1,17,X
58,友嘉實業股份有限公司,1,20,1,17,O
59,和泰汽車股份有限公司,28,37,15,17,O
60,永豐金證券股份有限公司,20,37,1,16,O
61,太子建設開發股份有限公司,7,55,7,16,O
62,遠東新世紀股份有限公司,28,176,5,16,O
63,義隆電子股份有限公司,2,67,2,16,O
64,台灣新光保全股份有限公司,22,183,10,16,O
65,世仁投資股份有限公司,86,223,1,16,O
66,億光電子工業股份有限公司,4,35,2,16,O
67,台灣苯乙烯工業股份有限公司,6,70,4,16,O
68,味全食品工業股份有限公司,6,34,5,16,O
69,燁輝企業股份有限公司,15,49,4,16,O
70,聯華實業股份有限公司,7,160,2,16,O
71,環宇投資股份有限公司,43,33,11,15,O
72,台達電子工業股份有限公司,0,38,0,15,O
73,聯華氣體工業股份有限公司,9,19,2,15,O
74,家邦投資股份有限公司,9,471,3,15,O
75,燁聯鋼鐵股份有限公司,17,36,5,15,O
76,慶豐環宇股份有限公司,3,20,2,15,O
77,凌陽科技股份有限公司,2,49,2,15,O
78,緯創資通股份有限公司,0,52,0,15,O
79,聯合報股份有限公司,12,22,6,15,O
80,遠雄國際投資股份有限公司,0,30,0,15,O
81,大成長城企業股份有限公司,13,26,4,15,O
82,元富證券股份有限公司,163,40,6,14,O
83,東安投資股份有限公司,18,81,3,14,O
84,潤泰創新國際股份有限公司,12,25,3,14,O
85,東森國際股份有限公司,6,27,5,14,O
86,凱擘股份有限公司,4,22,1,14,O
87,遠東百貨股份有限公司,28,176,5,14,O
88,光星實業股份有限公司,10,24,1,14,O
89,永豐創業投資股份有限公司,20,21,1,14,O
90,宏碁股份有限公司,3,26,2,14,O
91,璞全廣告股份有限公司,0,15,0,14,O
92,鴻揚創業投資股份有限公司,7,24,2,14,O
93,嘉新水泥股份有限公司,4,265,1,14,O
94,世成科技股份有限公司,86,223,7,13,O
95,上海商業儲蓄銀行股份有限公司,3,33,1,13,O
96,志信國際股份有限公司,2,55,2,13,O
97,崇越科技股份有限公司,0,28,0,13,O
98,碩英股份有限公司,2,45,2,13,O
99,東賢投資有限公司,0,495,0,13,O
100,聯華電子股份有限公司,5,155,3,13,O
101,力信投資股份有限公司,86,223,1,13,O
102,信文股份有限公司,0,13,0,13,O
103,欣興電子股份有限公司,6,41,2,13,O
104,泛德投資股份有限公司,5,201,2,13,O
105,遊戲橘子數位科技股份有限公司,4,21,4,13,O
106,鑫揚投資開發股份有限公司,14,92,3,13,O
107,立大開發投資股份有限公司,0,13,0,13,O
108,光元實業股份有限公司,2,99,2,13,O
109,寶鑫國際投資股份有限公司,6,38,1,12,O
110,匯豐汽車股份有限公司,23,17,6,12,O
111,經濟部,0,416,0,12,O
112,全家便利商店股份有限公司,4,16,3,12,O
113,富邦綜合證券股份有限公司,3,35,1,12,O
114,崇智國際投資股份有限公司,1,13,1,12,O
115,東和鋼鐵企業股份有限公司,4,238,3,12,O
116,亞洲投資股份有限公司,28,176,1,12,O
117,三立電視股份有限公司,0,13,0,12,O
118,日勝生活科技股份有限公司,2,17,2,12,X
119,和裕投資股份有限公司,34,20,20,12,O
120,樂文實業股份有限公司,5,201,2,12,O
121,智豐科技股份有限公司,7,230,7,12,O
122,智翔投資股份有限公司,86,223,4,12,O
123,臺灣工業銀行股份有限公司,210,29,8,12,O
124,台灣糖業股份有限公司,1,15,1,12,O
125,統一國際開發股份有限公司,16,30,7,12,O
126,台灣創業投資股份有限公司,2,47,1,12,O
127,新保投資股份有限公司,158,130,2,12,O
128,城邦文化事業股份有限公司,1,15,1,12,O
129,勤美股份有限公司,1,33,1,12,O
130,仁暉投資股份有限公司,6,14,1,12,O
131,台灣肥料股份有限公司,3,28,2,12,O
132,中鼎工程股份有限公司,12,177,6,12,O
133,遠傳電信股份有限公司,33,18,6,12,O
134,國泰世華商業銀行股份有限公司,11,57,1,12,O
135,環球水泥股份有限公司,6,47,6,12,O
136,精誠資訊股份有限公司,2,20,1,12,O
137,和園投資股份有限公司,2,120,2,12,O
138,錢櫃企業股份有限公司,4,18,2,12,O
139,東吳投資股份有限公司,0,19,0,12,X
140,松德爾投資股份有限公司,0,11,0,11,X
141,財政部,0,719,0,11,O
142,東樹投資股份有限公司,1,125,1,11,O
143,偉鈜投資開發股份有限公司,14,92,3,11,O
144,潤泰全球股份有限公司,12,25,4,11,O
145,大台北區瓦斯股份有限公司,177,48,12,11,O
146,蕾娜國際開發有限公司,0,11,0,11,X
147,和車股份有限公司,1,11,1,11,O
148,瑞新興業股份有限公司,1,459,1,11,O
149,國賓大飯店股份有限公司,175,69,8,11,O
150,微風廣場實業股份有限公司,10,19,2,11,O
151,中國石油化學工業開發股份有限公司,26,27,4,11,O
152,三陽工業股份有限公司,5,22,3,11,O
153,品冠行銷股份有限公司,16,11,2,11,O
154,力鵬企業股份有限公司,3,19,1,11,O
155,協美實業股份有限公司,1,242,1,11,O
156,智邦科技股份有限公司,1,13,1,11,O
157,全興投資開發股份有限公司,5,13,3,11,O
158,勇誼股份有限公司,0,30,0,11,O
159,新揚投資股份有限公司,26,35,5,11,O
160,中國時報文化事業股份有限公司,1,14,1,11,O
161,東聯化學股份有限公司,28,176,5,11,O
162,旭德科技股份有限公司,31,12,4,11,O
163,信東生技股份有限公司,5,40,5,11,O
164,佳醫健康事業股份有限公司,2,14,2,11,O
165,高氏企業開發股份有限公司,0,22,0,11,O
166,台新國際商業銀行股份有限公司,13,22,1,11,O
167,中興大業巴士股份有限公司,6,25,4,11,O
168,神達電腦股份有限公司,12,37,1,11,O
169,仰德投資事業股份有限公司,1,145,1,11,O
170,億銆投資股份有限公司,0,12,0,11,O
171,承業生醫投資控股股份有限公司,53,11,2,11,O
172,智冠科技股份有限公司,0,18,0,11,O
173,智匯資產管理股份有限公司,1,10,1,10,X
174,長昇建設股份有限公司,1,13,1,10,X
175,友達光電股份有限公司,23,40,1,10,O
176,名成興業股份有限公司,1,21,1,10,O
177,年代網際事業股份有限公司,2,39,2,10,O
178,中環股份有限公司,0,60,0,10,O
179,臺灣土地銀行股份有限公司,1,41,1,10,O
