排名,單位名稱,祖先數,子孫數,直接被投資,直接投資,是否身處最大集團
1,臺灣銀行股份有限公司,2,665,1,17,O
2,財政部,0,719,0,11,O
3,兆豐國際商業銀行股份有限公司,8,291,1,96,O
4,臺灣金融控股股份有限公司,1,668,1,3,O
5,中華開發工業銀行股份有限公司,20,304,1,79,O
6,行政院國家發展基金管理會,0,635,0,32,O
7,兆豐金融控股股份有限公司,7,348,5,8,O
8,財團法人新光吳火獅文教基金會,0,492,0,8,O
9,統一企業股份有限公司,4,221,4,43,O
10,交通部,0,432,0,8,O
11,中華開發金融控股股份有限公司,19,316,5,2,O
12,中華郵政股份有限公司,1,362,1,3,O
13,家邦投資股份有限公司,9,471,3,15,O
14,兆豐國際商業銀行股份有限公司工會,0,350,0,2,O
15,進賢投資股份有限公司,0,460,0,3,O
16,東賢投資有限公司,0,495,0,13,O
17,裕隆汽車製造股份有限公司,18,195,4,47,O
18,綿豪實業股份有限公司,2,436,1,5,O
19,高權投資股份有限公司,0,222,0,7,O
20,德岳實業股份有限公司,1,450,1,3,O
21,興文投資股份有限公司,2,326,1,3,O
22,永原投資股份有限公司,0,231,0,7,O
23,東興投資股份有限公司,3,459,3,7,O
24,新光育樂股份有限公司,39,444,6,2,O
25,泰伯投資股份有限公司,0,229,0,5,O
26,九福投資股份有限公司,0,229,0,5,O
27,良木企業股份有限公司,4,447,1,3,O
28,新光國際投資股份有限公司,0,471,0,6,O
29,台元紡織股份有限公司,18,195,8,23,O
30,新勝股份有限公司,16,456,11,6,O
31,鎧動投資股份有限公司,0,317,0,1,O
32,國亨化學股份有限公司,13,317,1,1,O
33,基捷投資股份有限公司,0,317,0,1,O
34,成玲投資股份有限公司,6,472,3,3,O
35,葛昌投資股份有限公司,6,472,3,3,O
36,兆邦投資股份有限公司,3,472,1,3,O
37,臺灣新光實業股份有限公司,19,454,12,6,O
38,漢霖建設股份有限公司,0,458,0,3,O
39,財團法人德山教育基金會,0,457,0,2,O
40,聯穗企業股份有限公司,0,457,0,2,O
41,新誠投資股份有限公司,0,457,0,2,O
42,財團法人台北市洪萬傳慈善基金會,0,457,0,2,O
43,濟真股份有限公司,0,457,0,2,O
44,宜廣實業股份有限公司,2,457,2,2,O
45,嘉浩投資股份有限公司,0,457,0,2,O
46,永豐餘投資控股股份有限公司,10,195,5,29,O
47,瑞新興業股份有限公司,1,459,1,11,O
48,樂文實業股份有限公司,5,201,2,12,O
49,新光合成纖維股份有限公司,51,313,7,24,O
50,中華汽車工業股份有限公司,18,195,5,21,O
51,東岳實業股份有限公司,1,438,1,2,O
52,昕達投資股份有限公司,0,460,0,3,O
53,昕陽投資股份有限公司,0,460,0,2,O
54,弘捷投資股份有限公司,0,451,0,2,O
55,經濟部,0,416,0,12,O
56,永光股份有限公司,35,449,7,5,O
57,中國鋼鐵股份有限公司,120,155,7,33,O
58,匯豐投資有限公司,0,452,0,4,O
59,信誼企業股份有限公司,1,232,1,10,O
60,昕昌投資股份有限公司,0,460,0,1,O
61,欣和投資股份有限公司,0,450,0,2,O
62,新台建設股份有限公司,2,475,2,3,O
63,逢星投資股份有限公司,3,475,3,3,O
64,傑昌投資股份有限公司,3,474,3,2,O
65,桂園投資股份有限公司,0,457,0,1,O
66,亞洲水泥股份有限公司,28,176,9,23,O
67,維宏投資股份有限公司,1,328,1,2,O
68,遠崧實業股份有限公司,0,455,0,1,O
69,財團法人台灣林登山社會福利基金會,0,455,0,1,O
70,遠東新世紀股份有限公司,28,176,5,16,O
71,上誼文化實業股份有限公司,0,237,0,8,O
72,廣昇國際企業有限公司,0,458,0,1,O
73,恆昇國際企業有限公司,0,458,0,1,O
74,博瑞股份有限公司,1,266,1,5,O
75,國喬石油化學股份有限公司,12,322,4,4,O
76,財團法人嚴慶齡工業發展基金會,0,196,0,2,O
77,中國合成橡膠股份有限公司,71,246,3,7,O
78,信誼投資事業股份有限公司,2,199,1,6,O
79,欣運實業股份有限公司,0,439,0,1,O
80,永增企業股份有限公司,0,452,0,4,O
81,國產實業建設股份有限公司,2,281,2,17,O
82,金葵投資股份有限公司,0,318,0,3,O
83,榮宗投資股份有限公司,0,210,0,7,O
84,臺灣水泥股份有限公司,71,246,12,31,O
85,新光海洋企業股份有限公司,18,450,2,2,O
86,成安有限公司,0,480,0,4,O
87,雲山有限公司,0,479,0,3,O
88,聯華實業股份有限公司,7,160,2,16,O
89,傑成有限公司,0,477,0,2,O
90,威文投資股份有限公司,5,201,4,7,O
91,新光開發股份有限公司,6,317,2,2,O
92,京裕投資股份有限公司,5,201,3,2,O
93,泛德投資股份有限公司,5,201,2,13,O
94,仲冠投資股份有限公司,4,339,1,9,O
95,遠鼎投資股份有限公司,28,176,2,22,O
96,台文針織股份有限公司,18,195,3,9,O
97,大聚化學纖維股份有限公司,28,176,3,8,O
98,聯華電子股份有限公司,5,155,3,13,O
99,日商三菱商事株式會社,0,207,0,5,O
100,立朋投資股份有限公司,18,195,4,2,O
101,嘉新水泥股份有限公司,4,265,1,14,O
102,裕忻投資股份有限公司,6,196,3,1,O
103,立元投資股份有限公司,18,195,4,1,O
104,永舜投資股份有限公司,18,195,4,1,O
105,富品投資股份有限公司,0,248,0,4,O
106,裕鼎實業股份有限公司,28,176,5,8,O
107,東聯化學股份有限公司,28,176,5,11,O
108,中信投資股份有限公司,71,246,4,5,O
109,南聯國際貿易股份有限公司,5,112,1,55,O
